"title","abstract","authors","year","venue","article_url","pdf_url","source_used","platform","url","doi","openalex_id","arxiv_id","dblp_key","decision","reason","LLM_term","CQ_term","title_norm","key"
"RAGONITE: Iterative Retrieval on Induced Databases and Verbalized RDF for Conversational QA over KGs with RAG","Conversational question answering (ConvQA) is a convenient means of searching over RDF knowledge graphs (KGs), where a prevalent approach is to translate natural language questions to SPARQL queries. However, SPARQL has certain shortcomings: (i) it is brittle for complex intents and conversational questions, and (ii) it is not suitable for more abstract needs. Instead, we propose a novel two-pronged system where we fuse: (i) SQL-query results over a database automatically derived from the KG, and (ii) text-search results over verbalizations of KG facts. Our pipeline supports iterative retrieval: when the results of any branch are found to be unsatisfactory, the system can automatically opt for further rounds. We put everything together in a retrieval augmented generation (RAG) setup, where an LLM generates a coherent response from accumulated search results. We demonstrate the superiority of our proposed system over several baselines on a knowledge graph of BMW automobiles.","Rishiraj Saha Roy; Chris Hinze; Joel Schlotthauer; Farzad Naderi; Viktor Hangya; Andreas Foltyn; Luzian Hahn; Fabian Kuech","2024","arXiv","https://arxiv.org/abs/2412.17690","http://arxiv.org/pdf/2412.17690v3","arxiv:id","arxiv","http://arxiv.org/abs/2412.17690v3","","","http://arxiv.org/abs/2412.17690v3","","include","LLM∧CQ match in title/abstract","True","True","ragonite iterative retrieval on induced databases and verbalized rdf for conversational qa over kgs with rag","arxiv::http://arxiv.org/abs/2412.17690v3"
"SM3-Text-to-Query: Synthetic Multi-Model Medical Text-to-Query Benchmark","Electronic health records (EHRs) are stored in various database systems with different database models on heterogeneous storage architectures, such as relational databases, document stores, or graph databases. These different database models have a big impact on query complexity and performance. While this has been a known fact in database research, its implications for the growing number of Text-to-Query systems have surprisingly not been investigated so far. In this paper, we present SM3-Text-to-Query, the first multi-model medical Text-to-Query benchmark based on synthetic patient data from Synthea, following the SNOMED-CT taxonomy -- a widely used knowledge graph ontology covering medical terminology. SM3-Text-to-Query provides data representations for relational databases (PostgreSQL), document stores (MongoDB), and graph databases (Neo4j and GraphDB (RDF)), allowing the evaluation across four popular query languages, namely SQL, MQL, Cypher, and SPARQL. We systematically and manually develop 408 template questions, which we augment to construct a benchmark of 10K diverse natural language question/query pairs for these four query languages (40K pairs overall). On our dataset, we evaluate several common in-context-learning (ICL) approaches for a set of representative closed and open-source LLMs. Our evaluation sheds light on the trade-offs between database models and query languages for different ICL strategies and LLMs. Last, SM3-Text-to-Query is easily extendable to additional query languages or real, standard-based patient databases.","Sithursan Sivasubramaniam; Cedric Osei-Akoto; Yi Zhang; Kurt Stockinger; Jonathan Fuerst","2024","arXiv","https://arxiv.org/abs/2411.05521","http://arxiv.org/pdf/2411.05521v2","arxiv:id","arxiv","http://arxiv.org/abs/2411.05521v2","","","http://arxiv.org/abs/2411.05521v2","","include","LLM∧CQ match in title/abstract","True","True","sm3texttoquery synthetic multimodel medical texttoquery benchmark","arxiv::http://arxiv.org/abs/2411.05521v2"
"Lexicalization Is All You Need: Examining the Impact of Lexical Knowledge in a Compositional QALD System","In this paper, we examine the impact of lexicalization on Question Answering over Linked Data (QALD). It is well known that one of the key challenges in interpreting natural language questions with respect to SPARQL lies in bridging the lexical gap, that is mapping the words in the query to the correct vocabulary elements. We argue in this paper that lexicalization, that is explicit knowledge about the potential interpretations of a word with respect to the given vocabulary, significantly eases the task and increases the performance of QA systems. Towards this goal, we present a compositional QA system that can leverage explicit lexical knowledge in a compositional manner to infer the meaning of a question in terms of a SPARQL query. We show that such a system, given lexical knowledge, has a performance well beyond current QA systems, achieving up to a $35.8\\%$ increase in the micro $F_1$ score compared to the best QA system on QALD-9. This shows the importance and potential of including explicit lexical knowledge. In contrast, we show that LLMs have limited abilities to exploit lexical knowledge, with only marginal improvements compared to a version without lexical knowledge. This shows that LLMs have no ability to compositionally interpret a question on the basis of the meaning of its parts, a key feature of compositional approaches. Taken together, our work shows new avenues for QALD research, emphasizing the importance of lexicalization and compositionality.","David Maria Schmidt; Mohammad Fazleh Elahi; Philipp Cimiano","2024","arXiv","https://arxiv.org/abs/2411.03906","http://arxiv.org/pdf/2411.03906v2","arxiv:id","arxiv","http://arxiv.org/abs/2411.03906v2","","","http://arxiv.org/abs/2411.03906v2","","include","LLM∧CQ match in title/abstract","True","True","lexicalization is all you need examining the impact of lexical knowledge in a compositional qald system","arxiv::http://arxiv.org/abs/2411.03906v2"
"Using off-the-shelf LLMs to query enterprise data by progressively revealing ontologies","Ontologies are known to improve the accuracy of Large Language Models (LLMs) when translating natural language queries into a formal query language like SQL or SPARQL. There are two ways to leverage ontologies when working with LLMs. One is to fine-tune the model, i.e., to enhance it with specific domain knowledge. Another is the zero-shot prompting approach, where the ontology is provided as part of the input question. Unfortunately, modern enterprises typically have ontologies that are too large to fit in a prompt due to LLM's token size limitations. We present a solution that incrementally reveals ""just enough"" of an ontology that is needed to answer a given question.","C. Civili; E. Sherkhonov; R. E. K. Stirewalt","2024","arXiv","https://arxiv.org/abs/2410.09244","http://arxiv.org/pdf/2410.09244v1","arxiv:id","arxiv","http://arxiv.org/abs/2410.09244v1","","","http://arxiv.org/abs/2410.09244v1","","include","LLM∧CQ match in title/abstract","True","True","using offtheshelf llms to query enterprise data by progressively revealing ontologies","arxiv::http://arxiv.org/abs/2410.09244v1"
"Less is More: Making Smaller Language Models Competent Subgraph Retrievers for Multi-hop KGQA","Retrieval-Augmented Generation (RAG) is widely used to inject external non-parametric knowledge into large language models (LLMs). Recent works suggest that Knowledge Graphs (KGs) contain valuable external knowledge for LLMs. Retrieving information from KGs differs from extracting it from document sets. Most existing approaches seek to directly retrieve relevant subgraphs, thereby eliminating the need for extensive SPARQL annotations, traditionally required by semantic parsing methods. In this paper, we model the subgraph retrieval task as a conditional generation task handled by small language models. Specifically, we define a subgraph identifier as a sequence of relations, each represented as a special token stored in the language models. Our base generative subgraph retrieval model, consisting of only 220M parameters, achieves competitive retrieval performance compared to state-of-the-art models relying on 7B parameters, demonstrating that small language models are capable of performing the subgraph retrieval task. Furthermore, our largest 3B model, when plugged with an LLM reader, sets new SOTA end-to-end performance on both the WebQSP and CWQ benchmarks. Our model and data will be made available online: https://github.com/hwy9855/GSR.","Wenyu Huang; Guancheng Zhou; Hongru Wang; Pavlos Vougiouklis; Mirella Lapata; Jeff Z. Pan","2024","arXiv","https://arxiv.org/abs/2410.06121","http://arxiv.org/pdf/2410.06121v1","arxiv:id","arxiv","http://arxiv.org/abs/2410.06121v1","","","http://arxiv.org/abs/2410.06121v1","","include","LLM∧CQ match in title/abstract","True","True","less is more making smaller language models competent subgraph retrievers for multihop kgqa","arxiv::http://arxiv.org/abs/2410.06121v1"
"LLM-based SPARQL Query Generation from Natural Language over Federated Knowledge Graphs","We introduce a Retrieval-Augmented Generation (RAG) system for translating user questions into accurate federated SPARQL queries over bioinformatics knowledge graphs (KGs) leveraging Large Language Models (LLMs). To enhance accuracy and reduce hallucinations in query generation, our system utilises metadata from the KGs, including query examples and schema information, and incorporates a validation step to correct generated queries. The system is available online at chat.expasy.org.","Vincent Emonet; Jerven Bolleman; Severine Duvaud; Tarcisio Mendes de Farias; Ana Claudia Sima","2025","arXiv","https://arxiv.org/abs/2410.06062","http://arxiv.org/pdf/2410.06062v4","arxiv:id","arxiv","http://arxiv.org/abs/2410.06062v4","","","http://arxiv.org/abs/2410.06062v4","","include","LLM∧CQ match in title/abstract","True","True","llmbased sparql query generation from natural language over federated knowledge graphs","arxiv::http://arxiv.org/abs/2410.06062v4"
"Enhancing SPARQL Generation by Triplet-order-sensitive Pre-training","Semantic parsing that translates natural language queries to SPARQL is of great importance for Knowledge Graph Question Answering (KGQA) systems. Although pre-trained language models like T5 have achieved significant success in the Text-to-SPARQL task, their generated outputs still exhibit notable errors specific to the SPARQL language, such as triplet flips. To address this challenge and further improve the performance, we propose an additional pre-training stage with a new objective, Triplet Order Correction (TOC), along with the commonly used Masked Language Modeling (MLM), to collectively enhance the model's sensitivity to triplet order and SPARQL syntax. Our method achieves state-of-the-art performances on three widely-used benchmarks.","Chang Su; Jiexing Qi; He Yan; Kai Zou; Zhouhan Lin","2024","arXiv","https://arxiv.org/abs/2410.05731","http://arxiv.org/pdf/2410.05731v1","arxiv:id","arxiv","http://arxiv.org/abs/2410.05731v1","","","http://arxiv.org/abs/2410.05731v1","","include","LLM∧CQ match in title/abstract","True","True","enhancing sparql generation by tripletordersensitive pretraining","arxiv::http://arxiv.org/abs/2410.05731v1"
"Towards Enhancing Linked Data Retrieval in Conversational UIs using Large Language Models","Despite the recent broad adoption of Large Language Models (LLMs) across various domains, their potential for enriching information systems in extracting and exploring Linked Data (LD) and Resource Description Framework (RDF) triplestores has not been extensively explored. This paper examines the integration of LLMs within existing systems, emphasising the enhancement of conversational user interfaces (UIs) and their capabilities for data extraction by producing more accurate SPARQL queries without the requirement for model retraining. Typically, conversational UI models necessitate retraining with the introduction of new datasets or updates, limiting their functionality as general-purpose extraction tools. Our approach addresses this limitation by incorporating LLMs into the conversational UI workflow, significantly enhancing their ability to comprehend and process user queries effectively. By leveraging the advanced natural language understanding capabilities of LLMs, our method improves RDF entity extraction within web systems employing conventional chatbots. This integration facilitates a more nuanced and context-aware interaction model, critical for handling the complex query patterns often encountered in RDF datasets and Linked Open Data (LOD) endpoints. The evaluation of this methodology shows a marked enhancement in system expressivity and the accuracy of responses to user queries, indicating a promising direction for future research in this area. This investigation not only underscores the versatility of LLMs in enhancing existing information systems but also sets the stage for further explorations into their potential applications within more specialised domains of web information systems.","Omar Mussa; Omer Rana; Benoît Goossens; Pablo Orozco-Terwengel; Charith Perera","2024","arXiv","https://arxiv.org/abs/2409.16220","http://arxiv.org/pdf/2409.16220v1","arxiv:id","arxiv","http://arxiv.org/abs/2409.16220v1","","","http://arxiv.org/abs/2409.16220v1","","include","LLM∧CQ match in title/abstract","True","True","towards enhancing linked data retrieval in conversational uis using large language models","arxiv::http://arxiv.org/abs/2409.16220v1"
"Knowledge in Triples for LLMs: Enhancing Table QA Accuracy with Semantic Extraction","Integrating structured knowledge from tabular formats poses significant challenges within natural language processing (NLP), mainly when dealing with complex, semi-structured tables like those found in the FeTaQA dataset. These tables require advanced methods to interpret and generate meaningful responses accurately. Traditional approaches, such as SQL and SPARQL, often fail to fully capture the semantics of such data, especially in the presence of irregular table structures like web tables. This paper addresses these challenges by proposing a novel approach that extracts triples straightforward from tabular data and integrates it with a retrieval-augmented generation (RAG) model to enhance the accuracy, coherence, and contextual richness of responses generated by a fine-tuned GPT-3.5-turbo-0125 model. Our approach significantly outperforms existing baselines on the FeTaQA dataset, particularly excelling in Sacre-BLEU and ROUGE metrics. It effectively generates contextually accurate and detailed long-form answers from tables, showcasing its strength in complex data interpretation.","Hossein Sholehrasa; Sanaz Saki Norouzi; Pascal Hitzler; Majid Jaberi-Douraki","2024","arXiv","https://arxiv.org/abs/2409.14192","http://arxiv.org/pdf/2409.14192v2","arxiv:id","arxiv","http://arxiv.org/abs/2409.14192v2","","","http://arxiv.org/abs/2409.14192v2","","include","LLM∧CQ match in title/abstract","True","True","knowledge in triples for llms enhancing table qa accuracy with semantic extraction","arxiv::http://arxiv.org/abs/2409.14192v2"
"A RAG Approach for Generating Competency Questions in Ontology Engineering","Competency question (CQ) formulation is central to several ontology development and evaluation methodologies. Traditionally, the task of crafting these competency questions heavily relies on the effort of domain experts and knowledge engineers which is often time-consuming and labor-intensive. With the emergence of Large Language Models (LLMs), there arises the possibility to automate and enhance this process. Unlike other similar works which use existing ontologies or knowledge graphs as input to LLMs, we present a retrieval-augmented generation (RAG) approach that uses LLMs for the automatic generation of CQs given a set of scientific papers considered to be a domain knowledge base. We investigate its performance and specifically, we study the impact of different number of papers to the RAG and different temperature setting of the LLM. We conduct experiments using GPT-4 on two domain ontology engineering tasks and compare results against ground-truth CQs constructed by domain experts. Empirical assessments on the results, utilizing evaluation metrics (precision and consistency), reveal that compared to zero-shot prompting, adding relevant domain knowledge to the RAG improves the performance of LLMs on generating CQs for concrete ontology engineering tasks.","Xueli Pan; Jacco van Ossenbruggen; Victor de Boer; Zhisheng Huang","2025","arXiv","https://arxiv.org/abs/2409.08820","http://arxiv.org/pdf/2409.08820v2","arxiv:id","arxiv","http://arxiv.org/abs/2409.08820v2","","","http://arxiv.org/abs/2409.08820v2","","include","LLM∧CQ match in title/abstract","True","True","a rag approach for generating competency questions in ontology engineering","arxiv::http://arxiv.org/abs/2409.08820v2"
"Integrating SPARQL and LLMs for Question Answering over Scholarly Data Sources","The Scholarly Hybrid Question Answering over Linked Data (QALD) Challenge at the International Semantic Web Conference (ISWC) 2024 focuses on Question Answering (QA) over diverse scholarly sources: DBLP, SemOpenAlex, and Wikipedia-based texts. This paper describes a methodology that combines SPARQL queries, divide and conquer algorithms, and a pre-trained extractive question answering model. It starts with SPARQL queries to gather data, then applies divide and conquer to manage various question types and sources, and uses the model to handle personal author questions. The approach, evaluated with Exact Match and F-score metrics, shows promise for improving QA accuracy and efficiency in scholarly contexts.","Fomubad Borista Fondi; Azanzi Jiomekong Fidel; Gaoussou Camara","2024","arXiv","https://arxiv.org/abs/2409.18969","http://arxiv.org/pdf/2409.18969v2","arxiv:id","arxiv","http://arxiv.org/abs/2409.18969v2","","","http://arxiv.org/abs/2409.18969v2","","include","LLM∧CQ match in title/abstract","True","True","integrating sparql and llms for question answering over scholarly data sources","arxiv::http://arxiv.org/abs/2409.18969v2"
