"ref_number","title","raw_text","doi","arxiv_id","year","authors","venue","article_url","has_article_url"
"115","Deep active learning with a neural architecture search","Deep active learning with a neural architecture search Y Geifman R El-Yaniv Proc. of NeurIPS of NeurIPS 2019","","","2019","['Y Geifman', 'R El-Yaniv']","Proc. of NeurIPS","",""
"116","What are bayesian neural network posteriors really like?","What are bayesian neural network posteriors really like? P Izmailov S Vikram M D Hoffman A G Wilson Proc. of ICML of ICML 2021","","","2021","['P Izmailov', 'S Vikram', 'M D Hoffman', 'A G Wilson']","Proc. of ICML","",""
"117","Learning representations by back-propagating errors","Learning representations by back-propagating errors D E Rumelhart Nature 323 6088 1986","","","1986","['D E Rumelhart']","Nature","",""
"118","Empirical evaluation of active learning techniques for neural MT","Empirical evaluation of active learning techniques for neural MT X Zeng S Garg Proc. of EMNLP of EMNLP 2019","","","2019","['X Zeng', 'S Garg']","Proc. of EMNLP","",""
"119","Active learning of causal structures with deep reinforcement learning","Active learning of causal structures with deep reinforcement learning A Amirinezhad S Salehkaleybar M Hashemi Neural Networks 154 2022","","","2022","['A Amirinezhad', 'S Salehkaleybar', 'M Hashemi']","Neural Networks","",""
"120","Graph policy network for transferable active learning on graphs","Graph policy network for transferable active learning on graphs S Hu Z Xiong M Qu X Yuan M Côté Z Liu J Tang Proc. of NeurIPS of NeurIPS 2020","","","2020","['S Hu', 'Z Xiong', 'M Qu', 'X Yuan', 'M Côté', 'Z Liu', 'J Tang']","Proc. of NeurIPS","",""
"121","Adversarial active learning based heterogeneous graph neural network for fake news detection","Adversarial active learning based heterogeneous graph neural network for fake news detection Y Ren B Wang J Zhang Y Chang Proc. of ICDM. IEEE of ICDM. IEEE 2020","","","2020","['Y Ren', 'B Wang', 'J Zhang', 'Y Chang']","Proc. of ICDM. IEEE","",""
"122","SEAL: semisupervised adversarial active learning on attributed graphs","SEAL: semisupervised adversarial active learning on attributed graphs Y Li J Yin L Chen IEEE Trans. Neural Networks Learn. Syst 32 7 2021","","","2021","['Y Li', 'J Yin', 'L Chen']","IEEE Trans. Neural Networks Learn. Syst","",""
"123","Auto-encoding variational bayes","Auto-encoding variational bayes D P Kingma M Welling Proc. of ICLR of ICLR 2014","","","2014","['D P Kingma', 'M Welling']","Proc. of ICLR","https://openreview.net/forum?","✓"
"124","Survey on self-supervised learning: Auxiliary pretext tasks and contrastive learning methods in imaging","Survey on self-supervised learning: Auxiliary pretext tasks and contrastive learning methods in imaging S Albelwi Entropy 24 4 551 2022","","","2022","['S Albelwi']","Entropy","",""
"125","Contrastive active learning under class distribution mismatch","Contrastive active learning under class distribution mismatch P Du H Chen S Zhao S Chai H Chen C Li IEEE Trans. Pattern Anal. Mach. Intell 45 4 2023","","","2023","['P Du', 'H Chen', 'S Zhao', 'S Chai', 'H Chen', 'C Li']","IEEE Trans. Pattern Anal. Mach. Intell","",""
"126","Meta-query-net: Resolving purity-informativeness dilemma in open-set active learning","Meta-query-net: Resolving purity-informativeness dilemma in open-set active learning D Park Y Shin J Bang Y Lee H Song J Lee Proc. of NeurIPS of NeurIPS 2022","","","2022","['D Park', 'Y Shin', 'J Bang', 'Y Lee', 'H Song', 'J Lee']","Proc. of NeurIPS","",""
"127","Learning to sample: An active learning framework","Learning to sample: An active learning framework J Shao Q Wang F Liu Proc. of ICDM of ICDM 2019","","","2019","['J Shao', 'Q Wang', 'F Liu']","Proc. of ICDM","",""
"128","Self-paced curriculum learning","Self-paced curriculum learning L Jiang D Meng Q Zhao S Shan A G Hauptmann Proc. of AAAI of AAAI 2015","","","2015","['L Jiang', 'D Meng', 'Q Zhao', 'S Shan', 'A G Hauptmann']","Proc. of AAAI","",""
"129","Active self-paced learning for cost-effective and progressive face identification","Active self-paced learning for cost-effective and progressive face identification L Lin K Wang D Meng W Zuo L Zhang IEEE Trans. Pattern Anal. Mach. Intell 40 1 2018","","","2018","['L Lin', 'K Wang', 'D Meng', 'W Zuo', 'L Zhang']","IEEE Trans. Pattern Anal. Mach. Intell","",""
"130","Forgotten lessons and the bridge to active and open world learning","Forgotten lessons and the bridge to active and open world learning M Mundt Y Hong I Pliushch V Ramesh Neural Networks 160 2023","","","2023","['M Mundt', 'Y Hong', 'I Pliushch', 'V Ramesh']","Neural Networks","",""
"131","IALE: imitating active learner ensembles","IALE: imitating active learner ensembles C Löffler C Mutschler J. Mach. Learn. Res 23 29 2022","","","2022","['C Löffler', 'C Mutschler']","J. Mach. Learn. Res","",""
"132","Active learning within constrained environments through imitation of an expert questioner","Active learning within constrained environments through imitation of an expert questioner K Bullard Y Schroecker S Chernova Proc. of IJCAI of IJCAI 2019","","","2019","['K Bullard', 'Y Schroecker', 'S Chernova']","Proc. of IJCAI","",""
"133","Multi-task active learning for neural semantic role labeling on low resource conversational corpus","Multi-task active learning for neural semantic role labeling on low resource conversational corpus F Ikhwantri S Louvan Proc. of the Workshop on DLA for Low-Resource of the Workshop on DLA for Low-Resource 2018","","","2018","['F Ikhwantri', 'S Louvan']","Proc. of the Workshop on DLA for Low-Resource","",""
"134","Asynchronous active learning with distributed label querying","Asynchronous active learning with distributed label querying S Huang C Zong Proc. of IJCAI of IJCAI 2021","","","2021","['S Huang', 'C Zong']","Proc. of IJCAI","",""
"135","Self-paced active learning: Query the right thing at the right time","Self-paced active learning: Query the right thing at the right time Y Tang S Huang Proc. of AAAI of AAAI 2019","","","2019","['Y Tang', 'S Huang']","Proc. of AAAI","",""
"136","Diversity enhanced active learning with strictly proper scoring rules","Diversity enhanced active learning with strictly proper scoring rules W Tan L Du W L Buntine Proc. of NeurIPS of NeurIPS 2021","","","2021","['W Tan', 'L Du', 'W L Buntine']","Proc. of NeurIPS","",""
"137","On dataset transferability in active learning for transformers","On dataset transferability in active learning for transformers F Jelenic J Jukic N Drobac J Snajder Findings of ACL 2023","","","2023","['F Jelenic', 'J Jukic', 'N Drobac', 'J Snajder']","Findings of ACL","",""
"138","Should we trust this summary? bayesian abstractive summarization to the rescue","Should we trust this summary? bayesian abstractive summarization to the rescue A Gidiotis G Tsoumakas Proc. of ACL of ACL 2022","","","2022","['A Gidiotis', 'G Tsoumakas']","Proc. of ACL","",""
"139","Active learning for abstractive text summarization","Active learning for abstractive text summarization A Tsvigun I Lysenko Proc. of EMNLP of EMNLP 2022","","","2022","['A Tsvigun', 'I Lysenko']","Proc. of EMNLP","",""
"140","Dialog policy learning for joint clarification and active learning queries","Dialog policy learning for joint clarification and active learning queries A Padmakumar R J Mooney Proc. of AAAI of AAAI 2021","","","2021","['A Padmakumar', 'R J Mooney']","Proc. of AAAI","",""
"141","Subsequence based deep active learning for named entity recognition","Subsequence based deep active learning for named entity recognition P Radmard Y Fathullah A Lipani Proc. of ACL of ACL 2021","","","2021","['P Radmard', 'Y Fathullah', 'A Lipani']","Proc. of ACL","",""
"142","Efficient argument structure extraction with transfer learning and active learning","Efficient argument structure extraction with transfer learning and active learning X Hua L Wang Findings of ACL 2022","","","2022","['X Hua', 'L Wang']","Findings of ACL","",""
"143","Active learning for deep semantic parsing","Active learning for deep semantic parsing L Duong H Afshar D Estival G Pink P R Cohen M Johnson Proc. of ACL of ACL 2018","","","2018","['L Duong', 'H Afshar', 'D Estival', 'G Pink', 'P R Cohen', 'M Johnson']","Proc. of ACL","",""
"144","The best of both worlds: Combining human and machine translations for multilingual semantic parsing with active learning","The best of both worlds: Combining human and machine translations for multilingual semantic parsing with active learning Z Li L Qu P R Cohen R Tumuluri G Haffari Proc. of ACL of ACL 2023","","","2023","['Z Li', 'L Qu', 'P R Cohen', 'R Tumuluri', 'G Haffari']","Proc. of ACL","",""
"145","Structural semantic adversarial active learning for image captioning","Structural semantic adversarial active learning for image captioning B Zhang L Li L Su S Wang J Deng Z Zha Q Huang Proc. of MM. ACM of MM. ACM 2020","","","2020","['B Zhang', 'L Li', 'L Su', 'S Wang', 'J Deng', 'Z Zha', 'Q Huang']","Proc. of MM. ACM","",""
"146","Active learning based framework for image captioning corpus creation","Active learning based framework for image captioning corpus creation M Cheikh M Zrigui Proc. of LION of LION 2020 12096","","","2020","['M Cheikh', 'M Zrigui']","Proc. of LION","",""
"147","Geometry in active learning for binary and multi-class image segmentation","Geometry in active learning for binary and multi-class image segmentation K Konyushkova R Sznitman P Fua Comput. Vis. Image Underst 182 2019","","","2019","['K Konyushkova', 'R Sznitman', 'P Fua']","Comput. Vis. Image Underst","",""
"148","CPRAL: collaborative panoptic-regional active learning for semantic segmentation","CPRAL: collaborative panoptic-regional active learning for semantic segmentation Y Qiao J Zhu Proc. of AAAI of AAAI 2022","","","2022","['Y Qiao', 'J Zhu']","Proc. of AAAI","",""
"149","Entropy-based active learning for object detection with progressive diversity constraint","Entropy-based active learning for object detection with progressive diversity constraint J Wu J Chen D Huang Proc. of CVPR of CVPR 2022","","","2022","['J Wu', 'J Chen', 'D Huang']","Proc. of CVPR","",""
"150","Multiple instance active learning for object detection","Multiple instance active learning for object detection T Yuan F Wan M Fu J Liu S Xu X Ji Q Ye Proc. of CVPR of CVPR 2021","","","2021","['T Yuan', 'F Wan', 'M Fu', 'J Liu', 'S Xu', 'X Ji', 'Q Ye']","Proc. of CVPR","",""
"151","Active learning for bayesian 3d hand pose estimation","Active learning for bayesian 3d hand pose estimation R Caramalau B Bhattarai T Kim Proc. of WACV of WACV 2021","","","2021","['R Caramalau', 'B Bhattarai', 'T Kim']","Proc. of WACV","",""
"152","A mathematical analysis of learning loss for active learning in regression","A mathematical analysis of learning loss for active learning in regression M Shukla S Ahmed Proc. of CVPR of CVPR 2021","","","2021","['M Shukla', 'S Ahmed']","Proc. of CVPR","",""
"153","Active learning for deep visual tracking","Active learning for deep visual tracking D Yuan X Chang Q Liu D Wang Z He 2021 CoRR","","2110.13259","2021","['D Yuan', 'X Chang', 'Q Liu', 'D Wang', 'Z He']","Active learning for deep visual tracking","https://arxiv.org/abs/2110.13259","✓"
"154","Multi-target active object tracking with monte carlo tree search and target motion modeling","Multi-target active object tracking with monte carlo tree search and target motion modeling Z Chen J Zhao 2022 CoRR","","2205.03555","2022","['Z Chen', 'J Zhao']","Multi-target active object tracking with monte carlo tree search and target motion modeling","https://arxiv.org/abs/2205.03555?context=cs.LG","✓"
"155","Rethinking data collection for person re-identification: active redundancy reduction","Rethinking data collection for person re-identification: active redundancy reduction X Xu L Liu X Zhang W Guan R Hu Pattern Recognit 113 107827 2021","","","2021","['X Xu', 'L Liu', 'X Zhang', 'W Guan', 'R Hu']","Pattern Recognit","",""
"156","Multi-view active learning for video recommendation","Multi-view active learning for video recommendation J Cai J Tang Q Chen Y Hu X Wang S Huang Proc. of IJCAI of IJCAI 2019","","","2019","['J Cai', 'J Tang', 'Q Chen', 'Y Hu', 'X Wang', 'S Huang']","Proc. of IJCAI","",""
"157","A unified framework of active transfer learning for cross-system recommendation","A unified framework of active transfer learning for cross-system recommendation L Zhao S J Pan Q Yang Artif. Intell 245 2017","","","2017","['L Zhao', 'S J Pan', 'Q Yang']","Artif. Intell","",""
"158","Community trolling: An active learning approach for topic based community detection in big data","Community trolling: An active learning approach for topic based community detection in big data P Gupta R Jindal A Sharma J. Grid Comput 16 4 2018","","","2018","['P Gupta', 'R Jindal', 'A Sharma']","J. Grid Comput","",""
"159","Active learning in the geometric block model","Active learning in the geometric block model E Chien A M Tulino J Llorca Proc. of AAAI of AAAI 2020","","","2020","['E Chien', 'A M Tulino', 'J Llorca']","Proc. of AAAI","",""
"160","Active learning for personalizing treatment","Active learning for personalizing treatment K Deng J Pineau S A Murphy Proc. of ADPRL. IEEE of ADPRL. IEEE 2011","","","2011","['K Deng', 'J Pineau', 'S A Murphy']","Proc. of ADPRL. IEEE","",""
"161","Deep bayesian active learning for multiple correct outputs","Deep bayesian active learning for multiple correct outputs K Jedoui R Krishna M S Bernstein L Fei-Fei 2019 CoRR","","1912.01119","2019","['K Jedoui', 'R Krishna', 'M S Bernstein', 'L Fei-Fei']","Deep bayesian active learning for multiple correct outputs","https://arxiv.org/abs/1912.01119","✓"
"162","Contextual semantic parsing for multilingual task-oriented dialogues","Contextual semantic parsing for multilingual task-oriented dialogues M Moradshahi V Tsai G Campagna M Lam Proc. of EACL of EACL 2023","","","2023","['M Moradshahi', 'V Tsai', 'G Campagna', 'M Lam']","Proc. of EACL","",""
"163","Active learning for multilingual semantic parser","Active learning for multilingual semantic parser Z Li G Haffari Findings of EACL 2023","","","2023","['Z Li', 'G Haffari']","Findings of EACL","",""
"164","Fine-tuning convolutional neural networks for biomedical image analysis: Actively and incrementally","Fine-tuning convolutional neural networks for biomedical image analysis: Actively and incrementally Z Zhou J Shin Proc. of CVPR of CVPR 2017","","","2017","['Z Zhou', 'J Shin']","Proc. of CVPR","",""
"165","Active learning for networked data","Active learning for networked data M Bilgic L Mihalkova L Getoor Proc. of ICML of ICML 2010","","","2010","['M Bilgic', 'L Mihalkova', 'L Getoor']","Proc. of ICML","",""
"166","Active learning for graph embedding","Active learning for graph embedding H Cai V W Zheng K C Chang 2017 CoRR","","","2017","['H Cai', 'V W Zheng', 'K C Chang']","Active learning for graph embedding","",""
"167","Active discriminative network representation learning","Active discriminative network representation learning L Gao H Yang Proc. of IJCAI of IJCAI 2018","","","2018","['L Gao', 'H Yang']","Proc. of IJCAI","",""
"168","Deep active learning for anchor user prediction","Deep active learning for anchor user prediction A Cheng C Zhou Proc. of IJCAI of IJCAI 2019","","","2019","['A Cheng', 'C Zhou']","Proc. of IJCAI","",""
"169","Active learning for gaussian process considering uncertainties with application to shape control of composite fuselage","Active learning for gaussian process considering uncertainties with application to shape control of composite fuselage X Yue Y Wen J H Hunt J Shi IEEE Trans Autom. Sci. Eng 18 1 2021","","","2021","['X Yue', 'Y Wen', 'J H Hunt', 'J Shi']","IEEE Trans Autom. Sci. Eng","",""
"170","Failure-averse active learning for physics-constrained systems","Failure-averse active learning for physics-constrained systems C Lee X Wang J Wu X Yue 10.1109/TASE.2022.3213827 IEEE Trans Autom. Sci. Eng 20 4 2023","10.1109/TASE.2022.3213827","","2023","['C Lee', 'X Wang', 'J Wu', 'X Yue']","IEEE Trans Autom. Sci. Eng","https://doi.org/10.1109/TASE.2022.3213827","✓"
"171","Partitioned active learning for heterogeneous systems","Partitioned active learning for heterogeneous systems C Lee K Wang J Wu W Cai X Yue 10.1115/1.4056567 J. Comput. Inf. Sci. Eng 23 4 2023","10.1115/1.4056567","","2023","['C Lee', 'K Wang', 'J Wu', 'W Cai', 'X Yue']","J. Comput. Inf. Sci. Eng","https://doi.org/10.1115/1.4056567","✓"
"172","Algorithms of oppression: How search engines reinforce racism","Algorithms of oppression: How search engines reinforce racism A Rahman New Media Soc 22 3 2020","","","2020","['A Rahman']","New Media Soc","",""
"173","Active learning for decision-making from imbalanced observational data","Active learning for decision-making from imbalanced observational data I Sundin P Schulam Proc. of ICML of ICML 2019","","","2019","['I Sundin', 'P Schulam']","Proc. of ICML","",""
"174","After: Active learning based fine-tuning framework for speech emotion recognition","After: Active learning based fine-tuning framework for speech emotion recognition D Li Y Wang K Funakoshi M Okumura Proc. of IEEE-ASRU of IEEE-ASRU 2023","","","2023","['D Li', 'Y Wang', 'K Funakoshi', 'M Okumura']","Proc. of IEEE-ASRU","",""
"175","Active learning stopping strategies for technology-assisted sensitivity review","Active learning stopping strategies for technology-assisted sensitivity review G Mcdonald C Macdonald I Ounis Proc. of SIGIR of SIGIR 2020","","","2020","['G Mcdonald', 'C Macdonald', 'I Ounis']","Proc. of SIGIR","",""
"176","Active learning from imbalanced data: A solution of online weighted extreme learning machine","Active learning from imbalanced data: A solution of online weighted extreme learning machine H Yu X Yang IEEE Trans. Neural Networks Learn. Syst 30 4 2019","","","2019","['H Yu', 'X Yang']","IEEE Trans. Neural Networks Learn. Syst","",""
"177","Stopping criterion for active learning based on deterministic generalization bounds","Stopping criterion for active learning based on deterministic generalization bounds H Ishibashi H Hino Proc. of AISTATS of AISTATS 2020","","","2020","['H Ishibashi', 'H Hino']","Proc. of AISTATS","",""
"178","Cold-start data selection for better few-shot language model fine-tuning: A prompt-based uncertainty propagation approach","Cold-start data selection for better few-shot language model fine-tuning: A prompt-based uncertainty propagation approach Y Yu R Zhang Proc. of ACL of ACL 2023","","","2023","['Y Yu', 'R Zhang']","Proc. of ACL","",""
"179","Making your first choice: To address cold start problem in vision active learning","Making your first choice: To address cold start problem in vision active learning L Chen Y Bai CoRR 2022","","2210.02442","2022","['L Chen', 'Y Bai']","CoRR","https://arxiv.org/abs/2210.02442","✓"
"180","Active learning through a covering lens","Active learning through a covering lens O Yehuda A Dekel Proc. of NeurIPS of NeurIPS 2022 35","","","2022","['O Yehuda', 'A Dekel']","Proc. of NeurIPS","",""
"181","Cold-start active sampling via γ-tube","Cold-start active sampling via γ-tube X Cao I W Tsang J Xu IEEE Trans. Cybern 52 7 2022","","","2022","['X Cao', 'I W Tsang', 'J Xu']","IEEE Trans. Cybern","",""
"182","Low-budget active learning via wasserstein distance: An integer programming approach","Low-budget active learning via wasserstein distance: An integer programming approach R Mahmood S Fidler Proc. of ICLR of ICLR 2022","","2106.02968","2022","['R Mahmood', 'S Fidler']","Proc. of ICLR","https://arxiv.org/abs/2106.02968","✓"
"183","Active learning for multiple target models","Active learning for multiple target models Y Tang S Huang Proc. of NeurIPS of NeurIPS 2022","","","2022","['Y Tang', 'S Huang']","Proc. of NeurIPS","",""
"184","On statistical bias in active learning: How and when to fix it","On statistical bias in active learning: How and when to fix it S Farquhar Y Gal Proc. of ICLR of ICLR 2021","","","2021","['S Farquhar', 'Y Gal']","Proc. of ICLR","https://openreview.net/forum?id=JiYq3eqTKY","✓"
"185","Efficient and effective text-annotation through active learning","Efficient and effective text-annotation through active learning M Zlabinger Proc. of SIGIR of SIGIR 2019 1456","","","2019","['M Zlabinger']","Proc. of SIGIR","",""
"186","Trustal: Trustworthy active learning using knowledge distillation","Trustal: Trustworthy active learning using knowledge distillation B Kwak Y Kim Proc. of AAAI of AAAI 2022","","","2022","['B Kwak', 'Y Kim']","Proc. of AAAI","",""
"187","Deep unsupervised active learning on learnable graphs","Deep unsupervised active learning on learnable graphs H Ma C Li X Shi Y Yuan G Wang 2021 CoRR","","2111.04286","2021","['H Ma', 'C Li', 'X Shi', 'Y Yuan', 'G Wang']","Deep unsupervised active learning on learnable graphs","https://arxiv.org/abs/2111.04286","✓"
"188","An efficient active learning pipeline for legal text classification","An efficient active learning pipeline for legal text classification S Mamooler R Lebret S Massonnet K Aberer Proc. of NLLP of NLLP 2022","","","2022","['S Mamooler', 'R Lebret', 'S Massonnet', 'K Aberer']","Proc. of NLLP","",""
"189","Nearest neighbor classifier embedded network for active learning","Nearest neighbor classifier embedded network for active learning F Wan T Yuan Proc. of AAAI of AAAI 2021","","","2021","['F Wan', 'T Yuan']","Proc. of AAAI","",""
"190","Counterfactual active learning for out-of-distribution generalization","Counterfactual active learning for out-of-distribution generalization X Deng W Wang F Feng H Zhang X He Y Liao Proc. of ACL of ACL 2023","","","2023","['X Deng', 'W Wang', 'F Feng', 'H Zhang', 'X He', 'Y Liao']","Proc. of ACL","",""
"191","Deep active learning by leveraging training dynamics","Deep active learning by leveraging training dynamics H Wang W Huang Z Wu H Tong A Margenot J He Proc. of NeurIPS of NeurIPS 2022","","","2022","['H Wang', 'W Huang', 'Z Wu', 'H Tong', 'A Margenot', 'J He']","Proc. of NeurIPS","",""
"192","Incremental relabeling for active learning with noisy crowdsourced annotations","Incremental relabeling for active learning with noisy crowdsourced annotations L Zhao G Sukthankar Proc. of PASSAT of PASSAT 2011","","","2011","['L Zhao', 'G Sukthankar']","Proc. of PASSAT","",""
"193","Mindful active learning","Mindful active learning Z Ashari H Ghasemzadeh Proc. of IJCAI of IJCAI 2019","","","2019","['Z Ashari', 'H Ghasemzadeh']","Proc. of IJCAI","",""
"194","Vab-al: Incorporating class imbalance and difficulty with variational bayes for active learning","Vab-al: Incorporating class imbalance and difficulty with variational bayes for active learning J Choi K Yi Proc. of CVPR of CVPR 2021","","","2021","['J Choi', 'K Yi']","Proc. of CVPR","",""
"195","Active learning under label shift","Active learning under label shift E Zhao A Liu Proc. of AISTATS of AISTATS 2021","","","2021","['E Zhao', 'A Liu']","Proc. of AISTATS","",""
"196","Exemplar guided active learning","Exemplar guided active learning J S Hartford K Leyton-Brown H Raviv D Padnos S Lev B Lenz Proc. of NeurIPS of NeurIPS 2020","","2011.01285","2020","['J S Hartford', 'K Leyton-Brown', 'H Raviv', 'D Padnos', 'S Lev', 'B Lenz']","Proc. of NeurIPS","https://arxiv.org/abs/2011.01285","✓"
"197","GALAXY: graph-based active learning at the extreme","GALAXY: graph-based active learning at the extreme J Zhang J Katz-Samuels R D Nowak Proc. of ICML of ICML 2022","","","2022","['J Zhang', 'J Katz-Samuels', 'R D Nowak']","Proc. of ICML","",""
"198","Safe-student for safe deep semisupervised learning with unseen-class unlabeled data","Safe-student for safe deep semisupervised learning with unseen-class unlabeled data R He Z Han X Lu Y Yin Proc. of CVPR of CVPR 2022","","","2022","['R He', 'Z Han', 'X Lu', 'Y Yin']","Proc. of CVPR","",""
"199","Dual active learning for both model and data selection","Dual active learning for both model and data selection Y Tang S Huang Proc. of IJCAI of IJCAI 2021","","","2021","['Y Tang', 'S Huang']","Proc. of IJCAI","",""
"200","Active learning for open-set annotation","Active learning for open-set annotation K Ning X Zhao Proc. of CVPR of CVPR 2022","","","2022","['K Ning', 'X Zhao']","Proc. of CVPR","",""
"201","Active learning on a budget: Opposite strategies suit high and low budgets","Active learning on a budget: Opposite strategies suit high and low budgets G Hacohen A Dekel D Weinshall Proc. of ICML of ICML 2022 162","","","2022","['G Hacohen', 'A Dekel', 'D Weinshall']","Proc. of ICML","",""
"202","On the stability of fine-tuning bert: Misconceptions, explanations, and strong baselines","On the stability of fine-tuning bert: Misconceptions, explanations, and strong baselines M Mosbach M Andriushchenko D Klakow Proc. of ICLR of ICLR 2021","","","2021","['M Mosbach', 'M Andriushchenko', 'D Klakow']","Proc. of ICLR","",""
"203","Bidirectional active learning with gold-instance-based human training","Bidirectional active learning with gold-instance-based human training F Tang Proc. of IJCAI of IJCAI 2019","","","2019","['F Tang']","Proc. of IJCAI","",""
"204","Submodular information measures based active learning in realistic scenarios","Submodular information measures based active learning in realistic scenarios S Kothawade N Beck Proc. of NeurIPS of NeurIPS 2021","","","2021","['S Kothawade', 'N Beck']","Proc. of NeurIPS","",""
"205","Active learning for class imbalance problem","Active learning for class imbalance problem S Ertekin J Huang C L Giles Proc. of SIGIR. ACM of SIGIR. ACM 2007","","","2007","['S Ertekin', 'J Huang', 'C L Giles']","Proc. of SIGIR. ACM","",""
