"ref_number","title","raw_text","doi","arxiv_id","year","authors","venue","article_url","has_article_url"
"34","Bayesian convolutional neural networks with bernoulli approximate variational inference","Bayesian convolutional neural networks with bernoulli approximate variational inference Y Gal Z Ghahramani Proc. of ICLR of ICLR 2016","","1506.02158","2016","['Y Gal', 'Z Ghahramani']","Proc. of ICLR","https://arxiv.org/abs/1506.02158","✓"
"35","Deep bayesian active learning with image data","Deep bayesian active learning with image data Y Gal R Islam Proc. of ICML of ICML 2017","","","2017","['Y Gal', 'R Islam']","Proc. of ICML","",""
"36","Cost-effective active learning for deep image classification","Cost-effective active learning for deep image classification K Wang D Zhang IEEE Trans. Circuits Syst. Video Technol 27 12 2017","","","2017","['K Wang', 'D Zhang']","IEEE Trans. Circuits Syst. Video Technol","",""
"37","Simple and scalable predictive uncertainty estimation using deep ensembles","Simple and scalable predictive uncertainty estimation using deep ensembles L Balaji A Pritzel Proc. of NeurIPS of NeurIPS 2017","","1612.01474","2017","['L Balaji', 'A Pritzel']","Proc. of NeurIPS","https://arxiv.org/abs/1612.01474","✓"
"38","Learning how to active learn: A deep reinforcement learning approach","Learning how to active learn: A deep reinforcement learning approach M Fang Y Li T Cohn Proc. of EMNLP of EMNLP 2017","","","2017","['M Fang', 'Y Li', 'T Cohn']","Proc. of EMNLP","",""
"39","Learning active learning from data","Learning active learning from data K Konyushkova R Sznitman P Fua Proc. of NeurIPS of NeurIPS 2017","","1703.03365","2017","['K Konyushkova', 'R Sznitman', 'P Fua']","Proc. of NeurIPS","https://arxiv.org/abs/1703.03365","✓"
"40","Generative adversarial active learning","Generative adversarial active learning J Zhu J Bento 2017 CoRR","","1702.07956","2017","['J Zhu', 'J Bento']","Generative adversarial active learning","https://arxiv.org/abs/1702.07956","✓"
"41","Active learning for convolutional neural networks: A core-set approach","Active learning for convolutional neural networks: A core-set approach O Sener S Savarese Proc. of ICLR of ICLR 2018","","","2018","['O Sener', 'S Savarese']","Proc. of ICLR","https://openreview.net/forum?id=H1aIuk-RW","✓"
"42","Adversarial active learning for deep networks: a margin based approach","Adversarial active learning for deep networks: a margin based approach M Ducoffe F Precioso 2018 CoRR","","1802.09841","2018","['M Ducoffe', 'F Precioso']","Adversarial active learning for deep networks: a margin based approach","https://arxiv.org/abs/1802.09841","✓"
"43","Costeffective object detection: Active sample mining with switchable selection criteria","Costeffective object detection: Active sample mining with switchable selection criteria K Wang L Lin X Yan Z Chen D Zhang L Zhang IEEE Trans. Neural Networks Learn. Syst 30 3 2019","","","2019","['K Wang', 'L Lin', 'X Yan', 'Z Chen', 'D Zhang', 'L Zhang']","IEEE Trans. Neural Networks Learn. Syst","",""
