ref_id,ref_number,title,year,doi,arxiv_id,venue,first_author,authors,article_url,pdf_url,additional_urls
,169,Active learning for gaussian process considering uncertainties with application to shape control of composite fuselage,2021,,,IEEE Trans Autom. Sci. Eng,"['X Yue', 'Y Wen', 'J H Hunt', 'J Shi']","['X Yue', 'Y Wen', 'J H Hunt', 'J Shi']",https://arxiv.org/abs/2004.10931,http://arxiv.org/pdf/2004.10931v1,"[""http://arxiv.org/abs/2004.10931v1"", ""http://arxiv.org/pdf/2004.10931v1""]"
,170,Failure-averse active learning for physics-constrained systems,2023,10.1109/tase.2022.3213827,,IEEE Trans Autom. Sci. Eng,"['C Lee', 'X Wang', 'J Wu', 'X Yue']","['C Lee', 'X Wang', 'J Wu', 'X Yue']",https://doi.org/10.1109/TASE.2022.3213827,https://vtechworks.lib.vt.edu/bitstreams/799a7358-67e8-41e7-9fe9-b6425eb147c3/download,"[""https://doi.org/10.1109/tase.2022.3213827"", ""https://www.semanticscholar.org/paper/3bead201afb8348f46458f655200b61d4f272e88"", ""https://vtechworks.lib.vt.edu/bitstreams/799a7358-67e8-41e7-9fe9-b6425eb147c3/download""]"
,171,Partitioned active learning for heterogeneous systems,2023,10.1115/1.4056567,,J. Comput. Inf. Sci. Eng,"['C Lee', 'K Wang', 'J Wu', 'W Cai', 'X Yue']","['C Lee', 'K Wang', 'J Wu', 'W Cai', 'X Yue']",https://doi.org/10.1115/1.4056567,https://vtechworks.lib.vt.edu/bitstreams/4a117754-ca1e-4878-b10d-9d91db4d7791/download,"[""https://doi.org/10.1115/1.4056567"", ""https://www.semanticscholar.org/paper/726a81c225c2539f5b62a02d4f857b5df90f31e0"", ""https://vtechworks.lib.vt.edu/bitstreams/4a117754-ca1e-4878-b10d-9d91db4d7791/download""]"
,172,Algorithms of oppression: How search engines reinforce racism,2020,,,New Media Soc,['A Rahman'],['A Rahman'],,,"[""https://doi.org/10.1080/01419870.2019.1635260"", ""http://bura.brunel.ac.uk/bitstream/2438/19792/2/FullText.pdf""]"
,173,Active learning for decision-making from imbalanced observational data,2019,,,Proc. of ICML,"['I Sundin', 'P Schulam']","['I Sundin', 'P Schulam']",https://arxiv.org/abs/1904.05268,http://arxiv.org/pdf/1904.05268v2,"[""http://arxiv.org/abs/1904.05268v2"", ""http://arxiv.org/pdf/1904.05268v2""]"
,174,After: Active learning based fine-tuning framework for speech emotion recognition,2023,,,Proc. of IEEE-ASRU,"['D Li', 'Y Wang', 'K Funakoshi', 'M Okumura']","['D Li', 'Y Wang', 'K Funakoshi', 'M Okumura']",https://arxiv.org/abs/2310.00283,http://arxiv.org/pdf/2310.00283v1,"[""http://arxiv.org/abs/2310.00283v1"", ""http://arxiv.org/pdf/2310.00283v1""]"
,175,Active learning stopping strategies for technology-assisted sensitivity review,2020,,,Proc. of SIGIR,"['G Mcdonald', 'C Macdonald', 'I Ounis']","['G Mcdonald', 'C Macdonald', 'I Ounis']",https://eprints.gla.ac.uk/215380/1/215380,https://eprints.gla.ac.uk/215380/1/215380.pdf,"[""https://www.semanticscholar.org/paper/f4a73cb4cc1b4358986e1a2193e1591d146fe94f"", ""https://eprints.gla.ac.uk/215380/1/215380.pdf""]"
,176,Active learning from imbalanced data: A solution of online weighted extreme learning machine,2019,,,IEEE Trans. Neural Networks Learn. Syst,"['H Yu', 'X Yang']","['H Yu', 'X Yang']",,,[]
,177,Stopping criterion for active learning based on deterministic generalization bounds,2020,,,Proc. of AISTATS,"['H Ishibashi', 'H Hino']","['H Ishibashi', 'H Hino']",https://arxiv.org/abs/2005.07402,https://arxiv.org/pdf/2005.07402,"[""http://arxiv.org/abs/2005.07402"", ""https://arxiv.org/pdf/2005.07402""]"
,178,Cold-start data selection for better few-shot language model fine-tuning: A prompt-based uncertainty propagation approach,2023,,,Proc. of ACL,"['Y Yu', 'R Zhang']","['Y Yu', 'R Zhang']",https://aclanthology.org/2023.acl-long.141,https://aclanthology.org/2023.acl-long.141.pdf,"[""https://www.semanticscholar.org/paper/43b15205c98b5e0693f128ebdd4c57c4ba854049"", ""https://aclanthology.org/2023.acl-long.141.pdf""]"
2210.02442,179,Making your first choice: To address cold start problem in vision active learning,2022,,2210.02442,CoRR,"['L Chen', 'Y Bai']","['L Chen', 'Y Bai']",https://arxiv.org/abs/2210.02442,http://arxiv.org/pdf/2210.02442v1,"[""http://arxiv.org/abs/2210.02442v1""]"
,180,Active learning through a covering lens,2022,,,Proc. of NeurIPS,"['O Yehuda', 'A Dekel']","['O Yehuda', 'A Dekel']",https://arxiv.org/abs/2205.11320,https://arxiv.org/pdf/2205.11320,"[""http://arxiv.org/abs/2205.11320"", ""https://arxiv.org/pdf/2205.11320""]"
,181,Cold-start active sampling via g-tube,2022,,,IEEE Trans. Cybern,"['X Cao', 'I W Tsang', 'J Xu']","['X Cao', 'I W Tsang', 'J Xu']",,,[]
2106.02968,182,Low-budget active learning via wasserstein distance: An integer programming approach,2022,,2106.02968,Proc. of ICLR,"['R Mahmood', 'S Fidler']","['R Mahmood', 'S Fidler']",https://arxiv.org/abs/2106.02968,http://arxiv.org/pdf/2106.02968v4,"[""http://arxiv.org/abs/2106.02968v4""]"
,183,Active learning for multiple target models,2022,,,Proc. of NeurIPS,"['Y Tang', 'S Huang']","['Y Tang', 'S Huang']",,,"[""https://www.semanticscholar.org/paper/dbf7a871854778460814ee35c68c33f1342237d6""]"
,184,On statistical bias in active learning: How and when to fix it,2021,,,Proc. of ICLR,"['S Farquhar', 'Y Gal']","['S Farquhar', 'Y Gal']",https://openreview.net/forum?id=JiYq3eqTKY,http://arxiv.org/pdf/2101.11665v2,"[""http://arxiv.org/abs/2101.11665v2"", ""http://arxiv.org/pdf/2101.11665v2""]"
,185,Efficient and effective text-annotation through active learning,2019,,,Proc. of SIGIR,['M Zlabinger'],['M Zlabinger'],,,"[""https://www.semanticscholar.org/paper/c137aa9719015684d5d582dd93ffea26383d0843""]"
,186,Trustal: Trustworthy active learning using knowledge distillation,2022,,,Proc. of AAAI,"['B Kwak', 'Y Kim']","['B Kwak', 'Y Kim']",,,[]
2111.04286,187,Deep unsupervised active learning on learnable graphs,2021,,2111.04286,Deep unsupervised active learning on learnable graphs,"['H Ma', 'C Li', 'X Shi', 'Y Yuan', 'G Wang']","['H Ma', 'C Li', 'X Shi', 'Y Yuan', 'G Wang']",https://arxiv.org/abs/2111.04286,http://arxiv.org/pdf/2111.04286v1,"[""http://arxiv.org/abs/2111.04286v1"", ""http://arxiv.org/pdf/2111.04286v1""]"
,188,An efficient active learning pipeline for legal text classification,2022,,,Proc. of NLLP,"['S Mamooler', 'R Lebret', 'S Massonnet', 'K Aberer']","['S Mamooler', 'R Lebret', 'S Massonnet', 'K Aberer']",https://arxiv.org/abs/2211.08112,http://arxiv.org/pdf/2211.08112v1,"[""http://arxiv.org/abs/2211.08112v1"", ""http://arxiv.org/pdf/2211.08112v1""]"
,189,Nearest neighbor classifier embedded network for active learning,2021,,,Proc. of AAAI,"['F Wan', 'T Yuan']","['F Wan', 'T Yuan']",,https://ojs.aaai.org/index.php/AAAI/article/download/17205/17012,"[""https://doi.org/10.1609/aaai.v35i11.17205"", ""https://ojs.aaai.org/index.php/AAAI/article/download/17205/17012""]"
,190,Counterfactual active learning for out-of-distribution generalization,2023,,,Proc. of ACL,"['X Deng', 'W Wang', 'F Feng', 'H Zhang', 'X He', 'Y Liao']","['X Deng', 'W Wang', 'F Feng', 'H Zhang', 'X He', 'Y Liao']",,,"[""https://doi.org/10.18653/v1/2023.acl-long.636"", ""https://aclanthology.org/2023.acl-long.636.pdf""]"
,191,Deep active learning by leveraging training dynamics,2022,,,Proc. of NeurIPS,"['H Wang', 'W Huang', 'Z Wu', 'H Tong', 'A Margenot', 'J He']","['H Wang', 'W Huang', 'Z Wu', 'H Tong', 'A Margenot', 'J He']",https://arxiv.org/abs/2110.08611,https://arxiv.org/pdf/2110.08611,"[""http://arxiv.org/abs/2110.08611"", ""https://arxiv.org/pdf/2110.08611""]"
,192,Incremental relabeling for active learning with noisy crowdsourced annotations,2011,,,Proc. of PASSAT,"['L Zhao', 'G Sukthankar']","['L Zhao', 'G Sukthankar']",,,"[""https://www.semanticscholar.org/paper/222883709a49136bee93fb55c9d13d2d9be452b4""]"
,193,Mindful active learning,2019,,,Proc. of IJCAI,"['Z Ashari', 'H Ghasemzadeh']","['Z Ashari', 'H Ghasemzadeh']",,,"[""https://doi.org/10.24963/ijcai.2019/314"", ""https://www.ijcai.org/proceedings/2019/0314.pdf""]"
,194,Vab-al: Incorporating class imbalance and difficulty with variational bayes for active learning,2021,,,Proc. of CVPR,"['J Choi', 'K Yi']","['J Choi', 'K Yi']",https://arxiv.org/abs/2003.11249,http://arxiv.org/pdf/2003.11249v2,"[""http://arxiv.org/abs/2003.11249v2"", ""http://arxiv.org/pdf/2003.11249v2""]"
,195,Active learning under label shift,2021,,,Proc. of AISTATS,"['E Zhao', 'A Liu']","['E Zhao', 'A Liu']",https://arxiv.org/abs/2007.08479,https://arxiv.org/pdf/2007.08479,"[""http://arxiv.org/abs/2007.08479"", ""https://arxiv.org/pdf/2007.08479""]"
2011.01285,196,Exemplar guided active learning,2020,,2011.01285,Proc. of NeurIPS,"['J S Hartford', 'K Leyton-Brown', 'H Raviv', 'D Padnos', 'S Lev', 'B Lenz']","['J S Hartford', 'K Leyton-Brown', 'H Raviv', 'D Padnos', 'S Lev', 'B Lenz']",https://arxiv.org/abs/2011.01285,http://arxiv.org/pdf/2011.01285v1,"[""http://arxiv.org/abs/2011.01285v1""]"
,197,GALAXY: graph-based active learning at the extreme,2022,,,Proc. of ICML,"['J Zhang', 'J Katz-Samuels', 'R D Nowak']","['J Zhang', 'J Katz-Samuels', 'R D Nowak']",https://arxiv.org/abs/2202.01402,https://arxiv.org/pdf/2202.01402,"[""http://arxiv.org/abs/2202.01402"", ""https://arxiv.org/pdf/2202.01402""]"
,198,Safe-student for safe deep semisupervised learning with unseen-class unlabeled data,2022,,,Proc. of CVPR,"['R He', 'Z Han', 'X Lu', 'Y Yin']","['R He', 'Z Han', 'X Lu', 'Y Yin']",,,[]
,199,Dual active learning for both model and data selection,2021,,,Proc. of IJCAI,"['Y Tang', 'S Huang']","['Y Tang', 'S Huang']",,,"[""https://doi.org/10.24963/ijcai.2021/420"", ""https://www.ijcai.org/proceedings/2021/0420.pdf""]"
,200,Active learning for open-set annotation,2022,,,Proc. of CVPR,"['K Ning', 'X Zhao']","['K Ning', 'X Zhao']",https://arxiv.org/abs/2201.06758,http://arxiv.org/pdf/2201.06758v1,"[""http://arxiv.org/abs/2201.06758v1"", ""http://arxiv.org/pdf/2201.06758v1""]"
,201,Active learning on a budget: Opposite strategies suit high and low budgets,2022,,,Proc. of ICML,"['G Hacohen', 'A Dekel', 'D Weinshall']","['G Hacohen', 'A Dekel', 'D Weinshall']",https://arxiv.org/abs/2202.02794,http://arxiv.org/pdf/2202.02794v4,"[""http://arxiv.org/abs/2202.02794v4"", ""http://arxiv.org/pdf/2202.02794v4""]"
,202,"On the stability of fine-tuning bert: Misconceptions, explanations, and strong baselines",2021,,,Proc. of ICLR,"['M Mosbach', 'M Andriushchenko', 'D Klakow']","['M Mosbach', 'M Andriushchenko', 'D Klakow']",,,"[""https://arxiv.org/abs/2006.04884"", ""http://arxiv.org/pdf/2006.04884v3""]"
,203,Bidirectional active learning with gold-instance-based human training,2019,,,Proc. of IJCAI,['F Tang'],['F Tang'],,,"[""https://doi.org/10.24963/ijcai.2019/830"", ""https://www.ijcai.org/proceedings/2019/0830.pdf""]"
,204,Submodular information measures based active learning in realistic scenarios,2021,,,Proc. of NeurIPS,"['S Kothawade', 'N Beck']","['S Kothawade', 'N Beck']",https://arxiv.org/abs/2107.00717,http://arxiv.org/pdf/2107.00717v2,"[""http://arxiv.org/abs/2107.00717v2"", ""http://arxiv.org/pdf/2107.00717v2""]"
,205,Active learning for class imbalance problem,2007,,,Proc. of SIGIR. ACM,"['S Ertekin', 'J Huang', 'C L Giles']","['S Ertekin', 'J Huang', 'C L Giles']",,,"[""https://doi.org/10.1145/1277741.1277927"", ""https://hdl.handle.net/11511/69569""]"
