ref_id,ref_number,title,year,doi,arxiv_id,venue,first_author,authors,article_url,pdf_url,additional_urls
,115,Deep active learning with a neural architecture search,2019,,,Proc. of NeurIPS,"['Y Geifman', 'R El-Yaniv']","['Y Geifman', 'R El-Yaniv']",https://arxiv.org/abs/1811.07579,http://arxiv.org/pdf/1811.07579v2,"[""http://arxiv.org/abs/1811.07579v2"", ""http://arxiv.org/pdf/1811.07579v2""]"
,116,What are bayesian neural network posteriors really like?,2021,,,Proc. of ICML,"['P Izmailov', 'S Vikram', 'M D Hoffman', 'A G Wilson']","['P Izmailov', 'S Vikram', 'M D Hoffman', 'A G Wilson']",https://arxiv.org/abs/2104.14421,http://arxiv.org/pdf/2104.14421v1,"[""http://arxiv.org/abs/2104.14421v1""]"
,117,Learning representations by back-propagating errors,1986,,,Nature,['D E Rumelhart'],['D E Rumelhart'],,,"[""https://www.semanticscholar.org/paper/052b1d8ce63b07fec3de9dbb583772d860b7c769""]"
,118,Empirical evaluation of active learning techniques for neural MT,2019,,,Proc. of EMNLP,"['X Zeng', 'S Garg']","['X Zeng', 'S Garg']",,,"[""https://doi.org/10.18653/v1/d19-6110"", ""https://www.aclweb.org/anthology/D19-6110.pdf""]"
,119,Active learning of causal structures with deep reinforcement learning,2022,,,Neural Networks,"['A Amirinezhad', 'S Salehkaleybar', 'M Hashemi']","['A Amirinezhad', 'S Salehkaleybar', 'M Hashemi']",https://arxiv.org/abs/2009.03009,http://arxiv.org/pdf/2009.03009v1,"[""http://arxiv.org/abs/2009.03009v1"", ""http://arxiv.org/pdf/2009.03009v1""]"
,120,Graph policy network for transferable active learning on graphs,2020,,,Proc. of NeurIPS,"['S Hu', 'Z Xiong', 'M Qu', 'X Yuan', 'M Côté', 'Z Liu', 'J Tang']","['S Hu', 'Z Xiong', 'M Qu', 'X Yuan', 'M Côté', 'Z Liu', 'J Tang']",https://arxiv.org/abs/2006.13463,http://arxiv.org/pdf/2006.13463v2,"[""http://arxiv.org/abs/2006.13463v2"", ""http://arxiv.org/pdf/2006.13463v2""]"
,121,Adversarial active learning based heterogeneous graph neural network for fake news detection,2020,,,Proc. of ICDM. IEEE,"['Y Ren', 'B Wang', 'J Zhang', 'Y Chang']","['Y Ren', 'B Wang', 'J Zhang', 'Y Chang']",https://arxiv.org/abs/2101.11206,http://arxiv.org/pdf/2101.11206v1,"[""http://arxiv.org/abs/2101.11206v1"", ""http://arxiv.org/pdf/2101.11206v1""]"
,122,SEAL: semisupervised adversarial active learning on attributed graphs,2021,,,IEEE Trans. Neural Networks Learn. Syst,"['Y Li', 'J Yin', 'L Chen']","['Y Li', 'J Yin', 'L Chen']",https://arxiv.org/abs/1908.08169,http://arxiv.org/pdf/1908.08169v2,"[""http://arxiv.org/abs/1908.08169v2"", ""http://arxiv.org/pdf/1908.08169v2""]"
,123,Auto-encoding variational bayes,2014,,,Proc. of ICLR,"['D P Kingma', 'M Welling']","['D P Kingma', 'M Welling']",https://openreview.net/forum?,,"[""https://www.semanticscholar.org/paper/ef4f5a50837a7c1b3e87b9300ffc7ba00d461a0f""]"
,124,Survey on self-supervised learning: Auxiliary pretext tasks and contrastive learning methods in imaging,2022,,,Entropy,['S Albelwi'],['S Albelwi'],,https://www.mdpi.com/1099-4300/24/4/551/pdf?version=1650008388,"[""https://www.semanticscholar.org/paper/0cc7d5f3823689bfda3de8e3719e54f6e9f91122"", ""https://www.mdpi.com/1099-4300/24/4/551/pdf?version=1650008388""]"
,125,Contrastive active learning under class distribution mismatch,2023,,,IEEE Trans. Pattern Anal. Mach. Intell,"['P Du', 'H Chen', 'S Zhao', 'S Chai', 'H Chen', 'C Li']","['P Du', 'H Chen', 'S Zhao', 'S Chai', 'H Chen', 'C Li']",,,"[""https://www.semanticscholar.org/paper/e1ce3147e221c4617daf6e0f0c9502eb660ab139""]"
,126,Meta-query-net: Resolving purity-informativeness dilemma in open-set active learning,2022,,,Proc. of NeurIPS,"['D Park', 'Y Shin', 'J Bang', 'Y Lee', 'H Song', 'J Lee']","['D Park', 'Y Shin', 'J Bang', 'Y Lee', 'H Song', 'J Lee']",https://arxiv.org/abs/2210.07805,http://arxiv.org/pdf/2210.07805v3,"[""http://arxiv.org/abs/2210.07805v3"", ""http://arxiv.org/pdf/2210.07805v3""]"
,127,Learning to sample: An active learning framework,2019,,,Proc. of ICDM,"['J Shao', 'Q Wang', 'F Liu']","['J Shao', 'Q Wang', 'F Liu']",https://arxiv.org/abs/1909.03585,http://arxiv.org/pdf/1909.03585v1,"[""http://arxiv.org/abs/1909.03585v1"", ""http://arxiv.org/pdf/1909.03585v1""]"
,128,Self-paced curriculum learning,2015,,,Proc. of AAAI,"['L Jiang', 'D Meng', 'Q Zhao', 'S Shan', 'A G Hauptmann']","['L Jiang', 'D Meng', 'Q Zhao', 'S Shan', 'A G Hauptmann']",,https://ojs.aaai.org/index.php/AAAI/article/download/9608/9467,"[""https://doi.org/10.1609/aaai.v29i1.9608""]"
,129,Active self-paced learning for cost-effective and progressive face identification,2018,,,IEEE Trans. Pattern Anal. Mach. Intell,"['L Lin', 'K Wang', 'D Meng', 'W Zuo', 'L Zhang']","['L Lin', 'K Wang', 'D Meng', 'W Zuo', 'L Zhang']",https://arxiv.org/abs/1701.03555,http://arxiv.org/pdf/1701.03555v2,"[""http://arxiv.org/abs/1701.03555v2"", ""http://arxiv.org/pdf/1701.03555v2""]"
,130,Forgotten lessons and the bridge to active and open world learning,2023,,,Neural Networks,"['M Mundt', 'Y Hong', 'I Pliushch', 'V Ramesh']","['M Mundt', 'Y Hong', 'I Pliushch', 'V Ramesh']",,,[]
,131,IALE: imitating active learner ensembles,2022,,,J. Mach. Learn. Res,"['C Löffler', 'C Mutschler']","['C Löffler', 'C Mutschler']",https://arxiv.org/abs/2007.04637,https://arxiv.org/pdf/2007.04637.pdf,"[""https://publica.fraunhofer.de/handle/publica/445570"", ""https://arxiv.org/pdf/2007.04637.pdf""]"
,132,Active learning within constrained environments through imitation of an expert questioner,2019,,,Proc. of IJCAI,"['K Bullard', 'Y Schroecker', 'S Chernova']","['K Bullard', 'Y Schroecker', 'S Chernova']",https://arxiv.org/abs/1907.00921,http://arxiv.org/pdf/1907.00921v1,"[""http://arxiv.org/abs/1907.00921v1"", ""http://arxiv.org/pdf/1907.00921v1""]"
,133,Multi-task active learning for neural semantic role labeling on low resource conversational corpus,2018,,,Proc. of the Workshop on DLA for Low-Resource,"['F Ikhwantri', 'S Louvan']","['F Ikhwantri', 'S Louvan']",https://arxiv.org/abs/1806.01523,http://arxiv.org/pdf/1806.01523v1,"[""http://arxiv.org/abs/1806.01523v1"", ""http://arxiv.org/pdf/1806.01523v1""]"
,134,Asynchronous active learning with distributed label querying,2021,,,Proc. of IJCAI,"['S Huang', 'C Zong']","['S Huang', 'C Zong']",https://www.ijcai.org/proceedings/2021/0354,https://www.ijcai.org/proceedings/2021/0354.pdf,"[""https://www.semanticscholar.org/paper/b8ec9ba3f02e7ecd9e674706fec1cd3dbbd5a7b9"", ""https://www.ijcai.org/proceedings/2021/0354.pdf""]"
,135,Self-paced active learning: Query the right thing at the right time,2019,,,Proc. of AAAI,"['Y Tang', 'S Huang']","['Y Tang', 'S Huang']",,https://ojs.aaai.org/index.php/AAAI/article/download/4445/4323,"[""https://doi.org/10.1609/aaai.v33i01.33015117"", ""https://ojs.aaai.org/index.php/AAAI/article/download/4445/4323""]"
,136,Diversity enhanced active learning with strictly proper scoring rules,2021,,,Proc. of NeurIPS,"['W Tan', 'L Du', 'W L Buntine']","['W Tan', 'L Du', 'W L Buntine']",https://arxiv.org/abs/2110.14171,http://arxiv.org/pdf/2110.14171v1,"[""http://arxiv.org/abs/2110.14171v1"", ""http://arxiv.org/pdf/2110.14171v1""]"
,137,On dataset transferability in active learning for transformers,2023,,,Findings of ACL,"['F Jelenic', 'J Jukic', 'N Drobac', 'J Snajder']","['F Jelenic', 'J Jukic', 'N Drobac', 'J Snajder']",https://arxiv.org/abs/2305.09807,http://arxiv.org/pdf/2305.09807v2,"[""http://arxiv.org/abs/2305.09807v2"", ""http://arxiv.org/pdf/2305.09807v2""]"
,138,Should we trust this summary? bayesian abstractive summarization to the rescue,2022,,,Proc. of ACL,"['A Gidiotis', 'G Tsoumakas']","['A Gidiotis', 'G Tsoumakas']",https://arxiv.org/abs/2105.10155,http://arxiv.org/pdf/2105.10155v2,"[""http://arxiv.org/abs/2105.10155v2"", ""http://arxiv.org/pdf/2105.10155v2""]"
,139,Active learning for abstractive text summarization,2022,,,Proc. of EMNLP,"['A Tsvigun', 'I Lysenko']","['A Tsvigun', 'I Lysenko']",https://arxiv.org/abs/2301.03252,http://arxiv.org/pdf/2301.03252v1,"[""http://arxiv.org/abs/2301.03252v1"", ""http://arxiv.org/pdf/2301.03252v1""]"
